City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
272,balkanabat,39.5108,54.3671,30.94,25,91,4.33,TM,2023-06-05,18:30:54
273,el nido,11.1858,119.3956,28.15,81,98,4.17,PH,2023-06-05,18:30:54
274,acapulco de juarez,16.8634,-99.8901,30.9,62,20,4.12,MX,2023-06-05,18:27:56
275,olyokminsk,60.3736,120.4264,13.23,41,53,3.2,RU,2023-06-05,18:30:55
276,belton,38.812,-94.5319,29.28,79,75,0.45,US,2023-06-05,18:22:11
277,prince george,53.9166,-122.753,16.69,35,100,5.14,CA,2023-06-05,18:26:01
278,mount pearl,47.5166,-52.7813,6.92,96,100,2.06,CA,2023-06-05,18:30:55
279,kristiansund,63.1115,7.732,9.36,76,75,4.12,NO,2023-06-05,18:30:56
280,tumpat,6.1978,102.171,24.99,88,20,1.54,MY,2023-06-05,18:30:56
281,sechura,-5.5569,-80.8222,25.24,69,12,7.46,PE,2023-06-05,18:30:56
282,ciudad insurgentes,25.2625,-111.7753,22.84,46,64,7.72,MX,2023-06-05,18:30:57
283,dori,14.0354,-0.0345,35.54,22,34,2.8,BF,2023-06-05,18:30:57
284,pontchateau,47.4333,-2.0833,20.99,77,0,3.6,FR,2023-06-05,18:30:57
285,northam,51.0333,-4.2167,12.56,79,0,3.11,GB,2023-06-05,18:30:57
286,moratuwa,6.773,79.8816,28.01,87,100,2.87,LK,2023-06-05,18:30:58
287,pechora,65.1472,57.2244,9.37,78,26,5.35,RU,2023-06-05,18:30:58
288,cururupu,-1.8283,-44.8683,23.11,98,7,1.52,BR,2023-06-05,18:30:58
289,wewak,-3.5534,143.6268,28.33,77,76,3.46,PG,2023-06-05,18:30:59
290,tsiombe,-25.3,45.4833,20.4,81,15,2.03,MG,2023-06-05,18:30:59
291,ishigaki,24.3448,124.1572,27.07,89,40,6.69,JP,2023-06-05,18:30:59
292,vila franca do campo,37.7167,-25.4333,17.23,91,100,8.21,PT,2023-06-05,18:30:59
293,asau,46.4333,26.4,13.51,84,96,0.83,RO,2023-06-05,18:31:00
294,lesnoy,57.6198,63.0784,10.05,68,10,1.64,RU,2023-06-05,18:31:00
295,manta,-0.95,-80.7333,27.88,89,40,5.81,EC,2023-06-05,18:26:24
296,san jeronimo,-11.9472,-75.2829,8.91,75,12,2.8,PE,2023-06-05,18:31:00
